,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
BE,10M,2023_03_26_11_13_30,1,1250,2500,2500,1250,1250,0,0.0,0.15,4.27
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,10M,2023_03_26_11_35_37,1,1250,2500,2500,1250,1250,0,0.0,0.1,100.24
BE,10M,2023_03_26_11_35_37,1,1250,2500,2500,1250,1250,0,0.0,0.1,400.33
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,10M,2023_03_26_11_40_10,1,1250,2500,2500,1250,1250,0,0.0,0.08,100.29
BE,10M,2023_03_26_11_40_10,1,1250,2500,2500,1250,1250,0,0.0,0.09,400.18
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,10M,2023_03_26_11_44_08,1,1250,2500,1257,1250,1250,0,0.0,0.09,0.21
BE,10M,2023_03_26_11_44_08,1,7,2500,1257,1250,7,1243,99.44,156.71,10413.29
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,10M,2023_03_26_11_47_03,1,1250,2500,1264,1250,1250,0,0.0,0.06,0.17
BE,10M,2023_03_26_11_47_03,1,14,2500,1264,1250,14,1236,98.88,-3129.56,10643.78
,Bandwidth,Timestamp,Duration,TxCountOfEachFlow,TxCountTotal,RxCountTotal,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,10M,2023_03_26_11_48_34,1,15,2500,1265,1250,15,1235,98.8,323.29,10670.74
BE,10M,2023_03_26_11_48_34,1,1250,2500,1265,1250,1250,0,0.0,0.06,0.16
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,15,2500,1265,Trial,2023_03_27_10_52_54,Trial,1250.0,15.0,1235.0,98.8,323.29,10670.74
BE,1250,1250,2500,1265,Trial,2023_03_27_10_52_54,Trial,1250.0,1250.0,0.0,0.0,0.06,0.16
Others,15,8,2500,1265,,2023_03_27_10_52_54,Trial,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,15,2500,1265,Trial,2023_03_27_20_05_49,Trial,1250.0,15.0,1235.0,98.8,323.29,10670.74
BE,1250,1250,2500,1265,Trial,2023_03_27_20_05_49,Trial,1250.0,1250.0,0.0,0.0,0.06,0.16
Others,15,8,2500,1265,,2023_03_27_20_05_49,Trial,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,15,2500,1265,Trial,2023_03_27_20_11_35,Trial,1250.0,15.0,1235.0,98.8,323.29,10670.74
BE,1250,1250,2500,1265,Trial,2023_03_27_20_11_35,Trial,1250.0,1250.0,0.0,0.0,0.06,0.16
Others,15,8,2500,1265,,2023_03_27_20_11_35,Trial,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,15,2500,1265,Trial,2023_03_27_20_13_02,Trial,1250.0,15.0,1235.0,98.8,323.29,10670.74
BE,1250,1250,2500,1265,Trial,2023_03_27_20_13_02,Trial,1250.0,1250.0,0.0,0.0,0.06,0.16
Others,15,8,2500,1265,,2023_03_27_20_13_02,Trial,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,15,2500,1265,Trial,2023_03_27_20_22_16,Trial,1250.0,15.0,1235.0,98.8,323.29,10670.74
BE,1250,1250,2500,1265,Trial,2023_03_27_20_22_16,Trial,1250.0,1250.0,0.0,0.0,0.06,0.16
Others,15,8,2500,1265,,2023_03_27_20_22_16,Trial,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,15,2500,1265,Trial,2023_03_28_00_08_48,Trial,1250.0,15.0,1235.0,98.8,323.29,10670.74
BE,1250,1250,2500,1265,Trial,2023_03_28_00_08_48,Trial,1250.0,1250.0,0.0,0.0,0.06,0.16
Others,15,8,2500,1265,,2023_03_28_00_08_48,Trial,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,15,2500,1265,Trial,2023_03_28_00_27_43,Trial,1250.0,15.0,1235.0,98.8,323.29,10670.74
BE,1250,1250,2500,1265,Trial,2023_03_28_00_27_43,Trial,1250.0,1250.0,0.0,0.0,0.06,0.16
Others,15,8,2500,1265,,2023_03_28_00_27_43,Trial,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,15,2500,1265,Trial,2023_03_28_01_04_08,Trial,1250.0,15.0,1235.0,98.8,323.29,10670.74
BE,1250,1250,2500,1265,Trial,2023_03_28_01_04_08,Trial,1250.0,1250.0,0.0,0.0,0.06,0.16
Others,15,8,2500,1265,,2023_03_28_01_04_08,Trial,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,15,2500,1265,Trial,2023_03_28_01_15_08,Trial,1250.0,15.0,1235.0,98.8,323.29,10670.74
BE,1250,1250,2500,1265,Trial,2023_03_28_01_15_08,Trial,1250.0,1250.0,0.0,0.0,0.06,0.16
Others,15,8,2500,1265,,2023_03_28_01_15_08,Trial,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,15,2500,1265,Trial,2023_03_28_01_15_50,Trial,1250.0,15.0,1235.0,98.8,323.29,10670.74
BE,1250,1250,2500,1265,Trial,2023_03_28_01_15_50,Trial,1250.0,1250.0,0.0,0.0,0.06,0.16
Others,15,8,2500,1265,,2023_03_28_01_15_50,Trial,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,15,2500,1265,Trial,2023_03_28_01_16_06,Trial,1250.0,15.0,1235.0,98.8,323.29,10670.74
BE,1250,1250,2500,1265,Trial,2023_03_28_01_16_06,Trial,1250.0,1250.0,0.0,0.0,0.06,0.16
Others,15,8,2500,1265,,2023_03_28_01_16_06,Trial,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,15,2500,1265,Trial,2023_03_28_01_21_24,Trial,1250.0,15.0,1235.0,98.8,323.29,10670.74
BE,1250,1250,2500,1265,Trial,2023_03_28_01_21_24,Trial,1250.0,1250.0,0.0,0.0,0.06,0.16
Others,15,8,2500,1265,,2023_03_28_01_21_24,Trial,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,15,2500,1265,Trial,2023_03_28_01_21_40,Trial,1250.0,15.0,1235.0,98.8,323.29,10670.74
BE,1250,1250,2500,1265,Trial,2023_03_28_01_21_40,Trial,1250.0,1250.0,0.0,0.0,0.06,0.16
Others,15,8,2500,1265,,2023_03_28_01_21_40,Trial,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,15,2500,1265,Trial,2023_03_28_01_22_40,Trial,1250.0,15.0,1235.0,98.8,323.29,10670.74
BE,1250,1250,2500,1265,Trial,2023_03_28_01_22_40,Trial,1250.0,1250.0,0.0,0.0,0.06,0.16
Others,15,8,2500,1265,,2023_03_28_01_22_40,Trial,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,,2500,0,10M,2023_03_28_02_05_48,1,1250.0,,,,,
BE,1250,,2500,0,10M,2023_03_28_02_05_48,1,1250.0,,,,,
Others,4,,2500,0,,2023_03_28_02_05_48,1,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
BE,1250,,2500,0,10M,2023_03_28_11_49_58,1,1250.0,,,,,
ST,1250,,2500,0,10M,2023_03_28_11_49_58,1,1250.0,,,,,
Others,3,2.0,2500,0,,2023_03_28_11_49_58,1,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,1250,2500,2500,10M,2023_03_28_11_59_11,1,1250.0,1250.0,0.0,0.0,4601.17,4601.59
BE,1250,1250,2500,2500,10M,2023_03_28_11_59_11,1,1250.0,1250.0,0.0,0.0,4601.17,4601.45
Others,2,2,2500,2500,,2023_03_28_11_59_11,1,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
BE,1250,1250,2500,2500,10M,2023_03_28_12_08_21,1,1250,1250,0,0.0,0.05,0.67
ST,1250,1250,2500,2500,10M,2023_03_28_12_08_21,1,1250,1250,0,0.0,0.06,0.38
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,1250,2500,2500,10M,2023_03_28_12_21_37,1,1250.0,1250.0,0.0,0.0,0.1,400.15
BE,1250,1250,2500,2500,10M,2023_03_28_12_21_37,1,1250.0,1250.0,0.0,0.0,0.07,100.02
Others,5,4,2500,2500,,2023_03_28_12_21_37,1,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
BE,1250,1250,2500,2500,10M,2023_03_28_12_30_30,1,1250.0,1250.0,0.0,0.0,0.09,99.79
ST,1250,1250,2500,2500,10M,2023_03_28_12_30_30,1,1250.0,1250.0,0.0,0.0,0.09,399.77
Others,2,1,2500,2500,,2023_03_28_12_30_30,1,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,1250,2500,2500,10M,2023_03_28_12_37_25,1,1250.0,1250.0,0.0,0.0,0.13,200.31
BE,1250,1250,2500,2500,10M,2023_03_28_12_37_25,1,1250.0,1250.0,0.0,0.0,0.19,50.28
Others,23,23,2500,2500,,2023_03_28_12_37_25,1,,,,,,
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
BE,1250,1250,2500,2500,10M,2023_03_28_12_48_50,1,1250,1250,0,0.0,0.14,99.59
ST,1250,1250,2500,2500,10M,2023_03_28_12_48_50,1,1250,1250,0,0.0,0.33,399.73
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
BE,1250,1250,2500,2500,Trial,2023_03_28_12_52_57,Trial,1250,1250,0,0.0,0.14,99.59
ST,1250,1250,2500,2500,Trial,2023_03_28_12_52_57,Trial,1250,1250,0,0.0,0.33,399.73
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
BE,1250,1250,2500,2500,Trial,2023_03_28_12_55_57,Trial,1250,1250,0,0.0,0.14,99.59
ST,1250,1250,2500,2500,Trial,2023_03_28_12_55_57,Trial,1250,1250,0,0.0,0.33,399.73
,TxCountOfEachFlow,RxCountOfEachFlow,TxCountTotal,RxCountTotal,Bandwidth,Timestamp,Duration,TxPacketCount,RxPacketCount,PacketLoss,PacketLoss%,LatencyMin,LatencyMax
ST,1250,1250,2500,2500,10M,2023_03_28_13_19_59,1,1250,1250,0,0.0,0.07,399.94
BE,1250,1250,2500,2500,10M,2023_03_28_13_19_59,1,1250,1250,0,0.0,0.06,99.53
